item,lift,confidence
tubes & nightgowns,133.3776596,0.5
nightgowns & tubes,133.3776596,0.010638298
underwires & raincoats,119.4047619,0.071428571
raincoats & underwires,119.4047619,0.066666667
parkas & hoods,89.55357143,0.142857143
hoods & parkas,89.55357143,0.1
tights & thermals,87.87234043,0.823529412
thermals & tights,87.87234043,0.059574468
shirtdresses & thermals,73.75,0.058823529
thermals & shirtdresses,73.75,0.05
bras & boyshorts,70.23809524,1
boyshorts & bras,70.23809524,0.00280112
hoodies & mittens,62.37562189,1
mittens & hoodies,62.37562189,0.002487562
visors & shirtdresses,52.23958333,0.05
shirtdresses & visors,52.23958333,0.041666667
puffers & raincoats,51.17346939,0.071428571
raincoats & puffers,51.17346939,0.028571429
pullovers & panties,44.6969697,0.333333333
panties & pullovers,44.6969697,0.005347594
cardigans & caftans,42.00167504,1
caftans & cardigans,42.00167504,0.001675042
capes & shrugs,40.34593725,0.181818182
shrugs & capes,40.34593725,0.017699115
robes & chemises,39.99202552,0.090909091
chemises & robes,39.99202552,0.01754386
slippers & pajamas,36.30550193,0.214285714
pajamas & slippers,36.30550193,0.02027027
tights & panties,35.56737589,0.333333333
panties & tights,35.56737589,0.004255319
bikinis & caftans,35.21769663,1
caftans & bikinis,35.21769663,0.001404494
headbands & pajamas,32.17493584,0.214285714
pajamas & headbands,32.17493584,0.017964072
parkas & shirtdresses,31.34375,0.05
shirtdresses & parkas,31.34375,0.025
sweatpants & shawls,31.27672844,0.114754098
shawls & sweatpants,31.27672844,0.076086957
ties & caftans,31.03341584,1
caftans & ties,31.03341584,0.001237624
bikinis & underwires,30.52200375,0.866666667
underwires & bikinis,30.52200375,0.018258427
knits & caftans,29.56957547,1
caftans & knits,29.56957547,0.001179245
trainers & pajamas,28.42970522,0.071428571
pajamas & trainers,28.42970522,0.015873016
oxfords & underwires,27.86111111,0.066666667
underwires & oxfords,27.86111111,0.016666667
puffers & hoods,25.58673469,0.035714286
hoods & puffers,25.58673469,0.028571429
sweaters & mittens,24.15703276,1
mittens & sweaters,24.15703276,0.000963391
tights & shawls,22.7397977,0.213114754
shawls & tights,22.7397977,0.055319149
eyewears & sandalens,21.26126126,0.156862745
sandalens & eyewears,21.26126126,0.043243243
flats & caftans,20.9832636,1
caftans & flats,20.9832636,0.00083682
packs & raincoats,20.58702791,0.071428571
raincoats & packs,20.58702791,0.011494253
sunhats & slingbackss,19.93243243,0.058823529
sunhats & castaners,19.93243243,0.058823529
slingbackss & sunhats,19.93243243,0.040540541
castaners & sunhats,19.93243243,0.040540541
bikinis & briefs,19.86639297,0.564102564
briefs & bikinis,19.86639297,0.092696629
briefs & chemises,19.48329448,0.090909091
chemises & briefs,19.48329448,0.008547009
swimsuits & underwires,19.25883257,0.333333333
underwires & swimsuits,19.25883257,0.011520737
pullovers & hoods,19.15584416,0.142857143
hoods & pullovers,19.15584416,0.021390374
thongs & underwires,18.57407407,0.066666667
underwires & thongs,18.57407407,0.011111111
tanks & boyshorts,18.23636364,1
tanks & caftans,18.23636364,1
boyshorts & tanks,18.23636364,0.000727273
caftans & tanks,18.23636364,0.000727273
sweatshirts & panties,18.20987654,0.333333333
panties & sweatshirts,18.20987654,0.002178649
capes & shawls,18.1887422,0.081967213
shawls & capes,18.1887422,0.044247788
headbands & thermals,17.66467066,0.117647059
thermals & headbands,17.66467066,0.011976048
trousers & caftans,17.43741307,1
caftans & trousers,17.43741307,0.00069541
sunniess & luggages,16.28246753,0.035714286
luggages & sunniess,16.28246753,0.018181818
capes & hoods,15.85018963,0.071428571
hoods & capes,15.85018963,0.017699115
gloves & fascinators,15.78284815,0.097560976
fascinators & gloves,15.78284815,0.051612903
slides & trenchcoats,15.36458333,0.125
trenchcoats & slides,15.36458333,0.004901961
playsuits & underwires,15.1969697,0.2
underwires & playsuits,15.1969697,0.009090909
headbands & miniskirts,15.01497006,0.1
miniskirts & headbands,15.01497006,0.005988024
oxfords & luggages,14.92559524,0.035714286
luggages & oxfords,14.92559524,0.016666667
briefs & underwires,14.28774929,0.066666667
underwires & briefs,14.28774929,0.008547009
bodysuits & thongs,14.2703252,0.233333333
thongs & bodysuits,14.2703252,0.051219512
kimonos & pajamas,14.21485261,0.071428571
pajamas & kimonos,14.21485261,0.007936508
sunhats & visors,14.11880631,0.041666667
visors & sunhats,14.11880631,0.013513514
fascinators & brooches,13.89966741,0.045454545
brooches & fascinators,13.89966741,0.012195122
shirts & caftans,13.59078591,1
shirts & mittens,13.59078591,1
caftans & shirts,13.59078591,0.000542005
mittens & shirts,13.59078591,0.000542005
bikinis & kaftans,13.41626538,0.380952381
kaftans & bikinis,13.41626538,0.04494382
hats & caftans,13.23218997,1
caftans & hats,13.23218997,0.000527704
capes & thermals,13.05309735,0.058823529
thermals & capes,13.05309735,0.008849558
kimonos & shawls,13.04970075,0.06557377
shawls & kimonos,13.04970075,0.031746032
hoodys & visors,12.74136179,0.041666667
visors & hoodys,12.74136179,0.012195122
shoes & nightgowns,12.66414141,0.5
nightgowns & shoes,12.66414141,0.001010101
socks & pajamas,12.46685449,0.214285714
pajamas & socks,12.46685449,0.006960557
kaftans & visors,12.43799603,0.041666667
visors & kaftans,12.43799603,0.011904762
coats & puffers,12.40568955,0.457142857
puffers & coats,12.40568955,0.017316017
swimsuits & kaftans,12.38067808,0.214285714
kaftans & swimsuits,12.38067808,0.041474654
t-shirts & caftans,12.37660415,1
caftans & t-shirts,12.37660415,0.000493583
slides & miniskirts,12.29166667,0.1
miniskirts & slides,12.29166667,0.004901961
loafers & miniskirts,12.11352657,0.1
miniskirts & loafers,12.11352657,0.004830918
